date,v,ma,std,zscore,pos
"2025-05-10, 02:00:00",1483569.01279311,1492104.2795521363,4918.442941580398,-1.7353595152785835,1
"2025-05-10, 03:00:00",1483586.57852898,1491991.5213318474,4812.249442905307,-1.7465725545999664,1
"2025-05-10, 04:00:00",1483616.85018868,1491878.7211226611,4700.054481737331,-1.7578245031166582,1
"2025-05-10, 05:00:00",1483631.67153957,1491766.390827721,4583.800699857304,-1.774666880347623,1
"2025-05-10, 06:00:00",1483605.99487018,1491654.1943755283,4462.8692089035485,-1.8033688931084608,1
"2025-05-10, 07:00:00",1483601.98005914,1491541.9744225151,4335.6596719077925,-1.83132325048969,1
"2025-05-10, 08:00:00",1483542.99119614,1491429.9677566718,4204.093891163063,-1.8760229349563717,1
"2025-05-10, 09:00:00",1483588.77026203,1491317.6325150712,4062.4334739713177,-1.9025203249631868,1
"2025-05-10, 10:00:00",1483611.02211466,1491205.1752351022,3911.195952830426,-1.941644758285918,1
"2025-05-10, 11:00:00",1483620.94742441,1491093.1675237922,3752.407372717523,-1.9913136707145138,1
"2025-05-10, 12:00:00",1483585.56531502,1490980.8402568386,3582.5331392717508,-2.0642586277155415,1
"2025-05-10, 13:00:00",1483624.48885417,1490869.3898573322,3403.9923542077954,-2.1283540764145563,1
"2025-05-10, 14:00:00",1483518.08603248,1490757.6516902365,3213.7109719783552,-2.252712120312381,-1
"2025-05-10, 15:00:00",1483403.89105574,1490706.1822153665,3235.885185145534,-2.2566595357425023,-1
"2025-05-10, 16:00:00",1483399.6696955,1490654.4108101293,3256.723950399745,-2.2276192962988834,-1
"2025-05-10, 17:00:00",1483409.60478847,1490602.2006525078,3275.8031741739246,-2.195674001644358,1
"2025-05-10, 18:00:00",1483391.27895719,1490550.0089957395,3294.260231413784,-2.173091843286842,1
"2025-05-10, 19:00:00",1483358.51686425,1490497.7339303843,3312.182384131721,-2.1554420131987544,1
"2025-05-10, 20:00:00",1483356.2221771,1490445.5137868286,3329.3024850277284,-2.1293624239942455,1
"2025-05-10, 21:00:00",1483352.29295005,1490392.827413593,3344.867531074998,-2.10487691908093,1
"2025-05-10, 22:00:00",1483343.27378115,1490340.4780713806,3360.190069741994,-2.0823834798035077,1
"2025-05-10, 23:00:00",1483394.27109089,1490288.0843178967,3373.7641092001754,-2.043359584094049,1
"2025-05-11, 00:00:00",1483389.57311603,1490236.3913205687,3387.6181469456847,-2.0211304543612254,1
"2025-05-11, 01:00:00",1483413.04445224,1490184.7445064443,3400.3387315084974,-1.991478081714578,1
"2025-05-11, 02:00:00",1483433.08660976,1490132.794675494,3411.452488624777,-1.9638872556700315,1
"2025-05-11, 03:00:00",1483472.47831522,1490080.0028301524,3419.780112797831,-1.9321489385253463,1
"2025-05-11, 04:00:00",1483468.25990396,1490028.117891876,3428.805694606476,-1.9131611914418998,1
"2025-05-11, 05:00:00",1483465.33125455,1489975.521982223,3435.9107391762004,-1.8947496666441048,1
"2025-05-11, 06:00:00",1483548.60002522,1489923.4248300185,3441.7482176837602,-1.85220544955744,1
"2025-05-11, 07:00:00",1483630.89206199,1489872.5501380137,3447.549097069084,-1.810462418455475,1
"2025-05-11, 08:00:00",1483333.9402616,1489820.2624191013,3454.750157129488,-1.877508318254381,1
"2025-05-11, 09:00:00",1483242.90026623,1489772.963010508,3469.7146285047515,-1.882017238718009,1
"2025-05-11, 10:00:00",1483442.4361343,1489726.8812494029,3482.829211297299,-1.8044080642019378,1
"2025-05-11, 11:00:00",1483441.57254839,1489680.444554237,3494.8423501055445,-1.7851655041488883,1
"2025-05-11, 12:00:00",1483246.31183799,1489633.3530524173,3507.965423346096,-1.820725247723477,1
"2025-05-11, 13:00:00",1483237.39607622,1489585.9939622201,3520.178610269098,-1.8034874331319075,1
"2025-05-11, 14:00:00",1483384.09235081,1489539.1928722435,3530.484978605165,-1.7434150148587166,1
"2025-05-11, 15:00:00",1483503.03127258,1489485.0512884404,3526.7208154597633,-1.6961989136303641,1
"2025-05-11, 16:00:00",1483369.911774,1489430.0223978132,3522.5150918304166,-1.7203930901156759,1
"2025-05-11, 17:00:00",1483198.44240658,1489374.2403846686,3518.7096893613634,-1.7551314326273344,1
"2025-05-11, 18:00:00",1483245.91557133,1489319.3646477868,3514.991458630354,-1.7278702232816483,1
"2025-05-11, 19:00:00",1483236.04886916,1489264.1774171516,3509.9670367871977,-1.7174316695319722,1
"2025-05-11, 20:00:00",1483225.93803731,1489208.7010493819,3503.6590445733914,-1.7075756904308892,1
"2025-05-11, 21:00:00",1483246.11144724,1489166.2759319958,3516.2996678039444,-1.6836347990935567,1
"2025-05-11, 22:00:00",1483279.92806755,1489122.8770263232,3526.846061229618,-1.6567065466804212,1
"2025-05-11, 23:00:00",1483345.14465985,1489079.6012558774,3536.171957141038,-1.6216566008468705,1
"2025-05-12, 00:00:00",1483308.3027846,1489035.1895513795,3543.978144897562,-1.6159486691600362,1
"2025-05-12, 01:00:00",1483429.84230155,1488987.9045687942,3545.5896975498567,-1.567598831609009,1
"2025-05-12, 02:00:00",1483568.75054861,1488941.4130344738,3545.933879615799,-1.5151614971585163,1
"2025-05-12, 03:00:00",1483663.20769923,1488895.5054656046,3545.3217491797373,-1.4758315708821708,1
"2025-05-12, 04:00:00",1483050.03379225,1488846.583081012,3547.6835992387214,-1.6338969151605438,1
"2025-05-12, 05:00:00",1483165.97320096,1488798.2358372314,3548.6734425991467,-1.5871459370310728,1
"2025-05-12, 06:00:00",1483170.07603456,1488749.4882125354,3548.306922082264,-1.5724153238415761,1
